                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                fitness,               f1_score,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.10597,                0.93878,                      1,                      1,                0.96842,                0.31274,                 0.0748,                 0.0028,                 0.0028
                      1,                0.09277,                0.93878,                      1,                      1,                0.96842,                 0.3313,               0.048644,              0.0056436,              0.0056436
                      2,                0.09046,                0.93878,                      1,                      1,                0.96842,                0.33032,                0.02243,              0.0084297,              0.0084297
                      3,                0.09184,                0.93878,                      1,                      1,                0.96842,                0.32422,               0.009703,               0.009703,               0.009703
                      4,                0.09409,                0.93878,                      1,                      1,                0.96842,                0.29321,               0.009703,               0.009703,               0.009703
                      5,                0.09215,                0.93878,                      1,                      1,                0.96842,                0.30713,               0.009604,               0.009604,               0.009604
                      6,                0.08659,                0.93878,                      1,                      1,                0.96842,                0.29565,               0.009505,               0.009505,               0.009505
                      7,                0.08737,                0.93878,                      1,                      1,                0.96842,                0.32007,               0.009406,               0.009406,               0.009406
                      8,                0.08881,                0.93878,                      1,                      1,                0.96842,                0.33936,               0.009307,               0.009307,               0.009307
                      9,                0.08931,                0.93878,                      1,                      1,                0.96842,                0.30005,               0.009208,               0.009208,               0.009208
                     10,                0.08701,                0.93878,                      1,                      1,                0.96842,                0.32471,               0.009109,               0.009109,               0.009109
                     11,                0.09047,                0.93878,                      1,                      1,                0.96842,                0.30835,                0.00901,                0.00901,                0.00901
                     12,                 0.0875,                0.93878,                      1,                      1,                0.96842,                0.32178,               0.008911,               0.008911,               0.008911
                     13,                 0.0829,                0.93878,                      1,                      1,                0.96842,                 0.3064,               0.008812,               0.008812,               0.008812
                     14,                 0.0782,                0.93878,                      1,                      1,                0.96842,                0.32275,               0.008713,               0.008713,               0.008713
                     15,                0.08164,                0.93878,                      1,                      1,                0.96842,                0.32031,               0.008614,               0.008614,               0.008614
                     16,                0.07692,                0.91837,                      1,                      1,                0.95745,                0.33398,               0.008515,               0.008515,               0.008515
                     17,                 0.0776,                0.93878,                      1,                      1,                0.96842,                0.30811,               0.008416,               0.008416,               0.008416
                     18,                0.07922,                0.91837,                      1,                      1,                0.95745,                0.31128,               0.008317,               0.008317,               0.008317
